bibcode,title,year,month,journal,volume,page,n_authors,n_colombian_authors,num_citations,keywords,doi,arxiv_id,url
2020JCAP...10..019B,Anisotropic Einstein Yang-Mills Higgs dark energy,2020,10,Journal of Cosmology and Astroparticle Physics,2020,019,4,4,22,General Relativity and Quantum Cosmology; Astrophysics - Cosmology and Nongalactic Astrophysics,10.1088/1475-7516/2020/10/019,arXiv:2006.14016,https://ui.adsabs.harvard.edu/abs/2020JCAP...10..019B
2020ApJ...902..105A,A Search for Ultra-high-energy Neutrinos from TXS 0506+056 Using the Pierre Auger Observatory,2020,10,The Astrophysical Journal,902,105,200,0,16,High energy astrophysics; Neutrino astronomy; Blazars; Transient sources; Active galaxies; 739; 1100; 164; 1851; 17; Astrophysics - High Energy Astrophysical Phenomena,10.3847/1538-4357/abb476,arXiv:2010.10953,https://ui.adsabs.harvard.edu/abs/2020ApJ...902..105A
2020MNRAS.498L.145G,The cosmic web through the lens of graph entropy,2020,11,Monthly Notices of the Royal Astronomical Society,498,L145,3,2,7,methods: data analysis; cosmology: large-scale structure of Universe,10.1093/mnrasl/slaa145,,https://ui.adsabs.harvard.edu/abs/2020MNRAS.498L.145G
2020Univ....6..243P,An Improved Framework for Quantum Gravity,2020,12,Universe,6,243,2,1,3,teleparallel gravity; de Sitter special relativity; quantum gravity; General Relativity and Quantum Cosmology,10.3390/universe6120243,arXiv:2012.09075,https://ui.adsabs.harvard.edu/abs/2020Univ....6..243P
2020RACCE..44..984G,Analysis of magnetic polarities in active regions for the prediction of solar flares,2020,12,Rev. Acad. Colomb. Cienc. Ex. Fis. Nat,44,984,2,2,1,Solar acttivity; Solar active regions; Sunspots,10.18257/raccefyn.1196,,https://ui.adsabs.harvard.edu/abs/2020RACCE..44..984G
2020PDU....3000709M,Regular black holes with exotic topologies,2020,12,Physics of the Dark Universe,30,100709,3,1,6,,10.1016/j.dark.2020.100709,,https://ui.adsabs.harvard.edu/abs/2020PDU....3000709M
2020PDU....3000614V,Newman-Penrose scalars and black hole equations of state,2020,12,Physics of the Dark Universe,30,100614,4,1,5,General Relativity and Quantum Cosmology,10.1016/j.dark.2020.100614,arXiv:2004.02411,https://ui.adsabs.harvard.edu/abs/2020PDU....3000614V
2020MNRAS.499.4325R,The AGN contribution to the UV-FIR luminosities of interacting galaxies and its role in identifying the main sequence,2020,12,Monthly Notices of the Royal Astronomical Society,499,4325,8,1,19,techniques: photometric; techniques: spectroscopic; galaxies: active; galaxies: evolution; galaxies: interactions; galaxies: starburst; Astrophysics - Astrophysics of Galaxies,10.1093/mnras/staa2813,arXiv:2009.05614,https://ui.adsabs.harvard.edu/abs/2020MNRAS.499.4325R
2021Univ....7....7U,Neutrino Oscillations in Neutrino-Dominated Accretion Around Rotating Black Holes,2021,1,Universe,7,7,3,1,10,accretion disk; neutrino physics; gamma-ray bursts; black hole physics,10.3390/universe7010007,,https://ui.adsabs.harvard.edu/abs/2021Univ....7....7U
2021PDU....3100759G,Coupled multi-Proca vector dark energy,2021,1,Physics of the Dark Universe,31,100759,2,2,27,Dark energy; Multi-Proca; Coupled vector fields; General Relativity and Quantum Cosmology; Astrophysics - Cosmology and Nongalactic Astrophysics,10.1016/j.dark.2020.100759,arXiv:2004.06466,https://ui.adsabs.harvard.edu/abs/2021PDU....3100759G
2021NewA...8201456G,GalRotpy: a tool to parametrize the gravitational potential of disc-like galaxies,2021,1,New Astronomy,82,101456,5,4,1,,10.1016/j.newast.2020.101456,,https://ui.adsabs.harvard.edu/abs/2021NewA...8201456G
